Sheet,Jurisdiction,Jurisdiction Setting,Jurisdiction Role,HSTM Setting,HSTM Role,Regulation Type,Oversight / Professional Agency,Requirement Level,Authority Level,Citation,Training Topic / Competency Item,Relationship,Purpose,Hours Required,Source URL,Notes / Research Flags
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Recognizes and reports indicators of abuse, neglect, exploitation, and resident-to-resident altercations through facility and state-mandated channels in accordance with required timelines",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Balances resident autonomy and informed refusal with clinical safety obligations, escalating to the charge nurse rather than overriding resident choice unilaterally",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 3: Activities of Daily Living (ADL) Care,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the federal ADL performance and support categories that map to MDS Section GG and PDPM ADL scoring, including bathing, dressing, grooming, toileting, transferring, eating, and personal hygiene",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies adaptive equipment, assistive devices, and environmental modifications appropriate for residents with mobility, sensory, or cognitive impairment",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Performs ADL care consistent with the resident's individualized care plan, preserving dignity, privacy, and the highest practicable level of independence",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Provides feeding assistance and monitors hydration and nutrition consistent with diet orders, swallowing precautions, and aspiration risk parameters",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Ability: Recognizes new or worsening functional decline during ADL care and reports it to the charge nurse rather than treating decline as an immutable baseline,Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Domain 4: Mobility, Transfers, and Safe Patient Handling",Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the body mechanics, transfer techniques, and mechanical lift procedures appropriate for the SNF population, including sit-to-stand lifts, total-body lifts, and gait belts",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes facility safe-patient-handling policies, weight limits, and the criteria for one-person versus two-person assistance based on the care plan and resident assessment",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Executes transfers, ambulation, and repositioning consistent with the care plan, the resident's tolerance, and applicable safe-patient-handling protocols",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Implements fall prevention interventions documented in the care plan, including bed and chair alarms, non-slip footwear, environmental modifications, and toileting schedules",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Recognizes acute mobility changes (new weakness, gait instability, refusal to bear weight) as potential indicators of stroke, fracture, infection, or medication effect, and escalates immediately",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Domain 5: Vital Signs, Observation, and Change-in-Condition Reporting",Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Knowledge: Describes normal and parameter-defined abnormal vital sign ranges for the SNF population and identifies the residents' baseline ranges as documented in the care plan,Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies signs of acute change in condition relevant to the SNF population, including altered mental status, respiratory distress, suspected stroke, sepsis indicators, hypoglycemia, falls, and uncontrolled pain",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Measures and accurately documents temperature, pulse, respiratory rate, blood pressure, oxygen saturation, weight, and intake/output using calibrated equipment and approved technique",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Communicates observed changes to the charge nurse using a structured handoff format (e.g., SBAR) that includes baseline, current observation, and resident response",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Distinguishes between expected day-to-day variation and clinically significant change, and errs toward escalation when uncertain rather than waiting for the next scheduled report",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 6: Documentation and the Resident Assessment Process,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the role of the Resident Assessment Instrument (RAI) and the Minimum Data Set (MDS) in SNF care planning, quality measurement, and Patient-Driven Payment Model (PDPM) reimbursement, and identifies the CNA's contribution to MDS data through point-of-care ADL documentation",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federal documentation expectations under 42 CFR § 483.20 and Appendix PP, including objectivity, timeliness, accuracy, and consistency with observed care",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Produces objective, factual point-of-care entries on ADL performance, intake and output, vital signs, behaviors, and resident statements that accurately reflect the level of assistance provided",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Communicates resident information across shifts and disciplines through structured handoffs, written notes, and direct verbal reports to the charge nurse",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Ability: Recognizes documentation that does not match observed care as a regulatory and reimbursement risk and corrects or escalates inconsistencies rather than perpetuating them,Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 7: Skin Integrity and Pressure Injury Surveillance,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies pressure injury risk factors common in the SNF population, including immobility, incontinence, malnutrition, friction and shear, and cognitive impairment",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the National Pressure Injury Advisory Panel (NPIAP) staging system and recognizes the visual presentation of Stage 1 through Stage 4, unstageable, and deep tissue pressure injuries",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Performs skin observation during routine care, documents findings consistently, and reports new or worsening skin changes to the charge nurse promptly",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Implements care-plan interventions for skin integrity including repositioning schedules, offloading, moisture management, and maintenance of pressure-relieving surfaces",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Recognizes the difference between moisture-associated skin damage, friction injuries, and pressure injuries, and reports observations precisely enough to support accurate licensed-nurse assessment",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 8: Dementia Care and Behavioral Symptom Recognition,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the stages and behavioral manifestations of Alzheimer's disease and related dementias and differentiates baseline dementia behavior from acute changes suggesting delirium, infection, pain, or medication effect",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies common triggers for behavioral and psychological symptoms of dementia (BPSD), including environmental, physical, and interpersonal factors, and understands the rationale for non-pharmacologic first-line interventions",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Skill: Applies person-centered communication and de-escalation techniques aligned with the CMS Hand-in-Hand training framework and Alzheimer's Association practice recommendations,Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Implements care-plan-directed non-pharmacologic interventions (redirection, environmental adjustment, meaningful activity, validation) and documents resident response",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Recognizes when behavioral escalation, suspected delirium, or possible elopement risk exceeds shift-level management capacity and escalates to the charge nurse without delay",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 9: Infection Prevention and Standard Precautions,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the federal infection prevention and control program requirements under 42 CFR § 483.80 and the F880 survey framework, including standard precautions, transmission-based precautions, and antibiotic stewardship awareness",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies signs and symptoms of common SNF infections (urinary tract infection, lower respiratory infection, skin and soft tissue infection, gastrointestinal illness) and the residents most at risk for outbreak transmission",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Performs hand hygiene, donning and doffing of personal protective equipment, and care of residents on isolation precautions in accordance with facility policy and CDC guidance",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Cleans and disinfects shared equipment, performs proper handling of soiled linen and waste, and maintains environmental hygiene during ADL care",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Recognizes deviations from infection prevention practice (by self, peers, or visitors) and raises them through facility channels rather than normalizing the deviation",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 10: End-of-Life and Postmortem Care,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the CNA's role in supporting residents on hospice or comfort-focused care plans within the SNF, including coordination with the hospice agency as the primary clinical authority",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Knowledge: Identifies physical signs of active dying and understands how documented advance directives and code status shift the focus of care toward comfort,Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Delivers comfort-focused ADL care, oral care, repositioning, and bowel and bladder management aligned with the resident's plan and reports symptom changes to the charge nurse for licensed-nurse intervention",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Performs postmortem care and supports family presence consistent with facility policy, cultural and religious considerations, and applicable state requirements",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Manages own emotional responses to resident death and supports peers and less-experienced staff, accessing facility and community grief resources as needed",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
